ccode,predicted_intensity,prob_0,prob_1,prob_2,actual_intensity,origin_year,target_year,horizon
404,0,0.6537104355692829,0.22111709004653474,0.12517247438418097,0,2021,2023,2
420,0,0.6415353025861679,0.2271375986348537,0.13132709877897733,0,2021,2023,2
432,2,0.09441599560113717,0.2925426014832608,0.6130414029156038,2,2021,2023,2
433,0,0.5725240765796952,0.26696248987600074,0.16051343354430478,0,2021,2023,2
434,0,0.615623245564263,0.25870055164465255,0.12567620279108316,1,2021,2023,2
435,0,0.5997430297144377,0.2698033921346783,0.13045357815088385,0,2021,2023,2
436,2,0.10400294176422334,0.3395905083642115,0.5564065498715659,2,2021,2023,2
437,0,0.5616043881286944,0.2648124245158867,0.1735831873554198,0,2021,2023,2
438,0,0.5985378755621695,0.23866550225637137,0.16279662218146082,0,2021,2023,2
439,2,0.10067131844832082,0.30094619061655864,0.598382490935122,2,2021,2023,2
450,0,0.6372055886841486,0.24290555880206832,0.11988885251378177,0,2021,2023,2
451,0,0.6313195889288812,0.2427336088075846,0.12594680226353233,0,2021,2023,2
452,0,0.6123623106420398,0.22816761100361801,0.1594700783543434,0,2021,2023,2
461,0,0.6245762869628927,0.24967319674470967,0.12575051629239647,1,2021,2023,2
475,2,0.10570241548738123,0.30967781187436133,0.5846197726382593,2,2021,2023,2
481,0,0.6895898904141317,0.19330525827789347,0.11710485130797371,0,2021,2023,2
482,1,0.1773004487979791,0.527784995084136,0.29491455611788336,2,2021,2023,2
483,2,0.08105828277278322,0.35389578664223914,0.5650459305849789,1,2021,2023,2
